Asset,Minimum,Fee
1INCH,10,5
AAVE,0.12,0.05
ADA,5,1
ALGO,1,0.01
ANKR,360,180
ANT,4,3
ATOM,1,0.1
AXS,12,6
BADGER,1.6,0.8
BAL,0.8,0.7
BAND,14,7
BAT,50,25
BCH,0.006,0.0003
BNC,1,0.5
BNT,8,4.2
XBT,0.0005,0.00015
CHZ,160,80
COMP,0.05,0.04
CQT,10,5
CRV,15,7
CTSI,60,30
DAI,30,15
DASH (instant send),0.05,0.01
DASH (normal send),0.01,0.005
XDG,50,4
DOT,1.05,0.05
DYDX,20,10
ENJ,25,12
EOS,0.5,0.05
ETC,0.01,0.005
ETH,0.005,0.0035
EWT,1,0.26
FIL,0.1,0.01
FLOW,0.1,0.03
GHST,25,12
GNO,0.3,0.06
GRT,80,22
ICX,0.1,0.05
INJ,4,2
KAR,2,1
KAVA,1,0.15
KEEP,130,65
KNC,5,4
KSM,0.0105,0.01
LINK,0.7,1.5
LPT,1.6,0.6
LRC,80,40
LSK,1,0.3
LTC,0.01,0.002
LUNA,0.5,0.1
MANA,30,22
MATIC,30,15
MINA,2,0.05
MIR,8,4
MKR,0.013,0.0052
MLN,0.1,0.01
MOVR,0.14,0.07
NANO,0.1,0.05
OCEAN,70,35
OGN,50,25
OMG,6,3
OXT,1000,50
OXY,0.4,0.2
PAXG ,0.005,0.005*
PERP,4,2
PHA,0.14,0.07
QTUM,0.1,0.01
RARI,2,1
RAY,0.2,0.1
REN,60,230
REP,1.5,0.75
REPV2,1.5,0.75
SAND,80,38
SC,10,5
SDN,0.4,0.2
SNX,9,4
SOL,0.02,0.01
SRM,0.2,0.1
STORJ,30,15
SUSHI,4,1.5
TBTC,0.0008,0.00015
TRX,2,1
UNI,1,0.6
USDC,10,7.5
USDT (ERC20),10,7.5
USDT (OMNI),20,15
USDT (TRC20),5,2.5
WAVES,0.01,0.005
WBTC,0.0005,0.001
XLM,25,0.001
XMR,0.01,0.0001
XRP,25,0.02
XTZ,0.8,0.4
YFI,0.0007,0.00013
ZEC,0.005,0.001
ZRX,24,12
